WORD_ENGLISH,VAL_MEAN,pos/neg
racist,-2.8,negative
corrupt,-2.67,negative
cruel,-2.67,negative
hateful,-2.64,negative
violent,-2.59,negative
dishonest,-2.55,negative
destructive,-2.46,negative
malicious,-2.45,negative
deceitful,-2.38,negative
disrespectful,-2.37,negative
brutal,-2.35,negative
unfaithful,-2.34,negative
rude,-2.34,negative
nasty,-2.33,negative
cold-hearted,-2.32,negative
greedy,-2.31,negative
vicious,-2.3,negative
vengeful,-2.26,negative
prejudiced,-2.24,negative
manipulative,-2.24,negative
obnoxious,-2.23,negative
inconsiderate,-2.23,negative
vulgar,-2.22,negative
cold-blooded,-2.21,negative
unkind,-2.21,negative
unreliable,-2.2,negative
spiteful,-2.19,negative
ungrateful,-2.19,negative
arrogant,-2.17,negative
devious,-2.05,negative
condescending,-2.04,negative
selfish,-2.04,negative
ruthless,-2.04,negative
bad,-2.0,negative
impolite,-1.92,negative
unjust,-1.92,negative
idiotic,-1.91,negative
unfriendly,-1.91,negative
annoying,-1.9,negative
unfair,-1.9,negative
insensitive,-1.89,negative
intolerant,-1.88,negative
unstable,-1.88,negative
jealous,-1.88,negative
snobbish,-1.87,negative
narrow-minded,-1.87,negative
stupid,-1.86,negative
resentful,-1.85,negative
unlikeable,-1.83,negative
merciless,-1.81,negative
brave,2.03,positive
capable,2.03,positive
competent,2.04,positive
confident,2.06,positive
skillful,2.07,positive
optimistic,2.07,positive
well-behaved,2.08,positive
appealing,2.09,positive
open-hearted,2.09,positive
affectionate,2.1,positive
open-minded,2.1,positive
creative,2.12,positive
delightful,2.13,positive
likeable,2.13,positive
educated,2.14,positive
pleasant,2.14,positive
understanding,2.15,positive
talented,2.16,positive
nice,2.17,positive
thoughtful,2.2,positive
respectable,2.21,positive
loyal,2.21,positive
patient,2.21,positive
smart,2.21,positive
grateful,2.21,positive
courteous,2.22,positive
polite,2.22,positive
knowledgeable,2.24,positive
thankful,2.24,positive
warm-hearted,2.26,positive
sincere,2.26,positive
faithful,2.26,positive
considerate,2.27,positive
heroic,2.27,positive
courageous,2.27,positive
generous,2.29,positive
friendly,2.32,positive
hardworking,2.34,positive
intelligent,2.34,positive
caring,2.35,positive
helpful,2.36,positive
dependable,2.36,positive
wise,2.36,positive
respectful,2.4,positive
kind,2.42,positive
reliable,2.43,positive
compassionate,2.45,positive
trustworthy,2.49,positive
loving,2.58,positive
honest,2.58,positive
